,Unnamed: 0,Review,Tokenized_Review,sentiment,documentid
0,0,"I can't help but suspect that writer/director Makoto Shinkai did make this movie because he thought he had an interesting story but simply because he wanted to play with rain animations.I'm okay with that. The animation is stunning, and no one is quite so good as taking something as simple as drops in a puddle and creating a gorgeous symphony as Shinkai.All the same, a story would have been nice and there really isn't much of one here, nor does what exists make any particular sense. But the characters are charming, the movie is funny and touching, and while it's no ""Your Name"" it is Shinkai's third best film (Garden of Words is 2nd).Well worth watching.","['i', ""can't"", 'help', 'but', 'suspect', 'that', 'writer/director', 'makoto', 'shinkai', 'did', 'make', 'this', 'movie', 'because', 'he', 'thought', 'he', 'had', 'an', 'interesting', 'story', 'but', 'simply', 'because', 'he', 'wanted', 'to', 'play', 'with', 'rain', ""animations.i'm"", 'okay', 'with', 'that.', 'the', 'animation', 'is', 'stunning,', 'and', 'no', 'one', 'is', 'quite', 'so', 'good', 'as', 'taking', 'something', 'as', 'simple', 'as', 'drops', 'in', 'a', 'puddle', 'and', 'creating', 'a', 'gorgeous', 'symphony', 'as', 'shinkai.all', 'the', 'same,', 'a', 'story', 'would', 'have', 'been', 'nice', 'and', 'there', 'really', ""isn't"", 'much', 'of', 'one', 'here,', 'nor', 'does', 'what', 'exists', 'make', 'any', 'particular', 'sense.', 'but', 'the', 'characters', 'are', 'charming,', 'the', 'movie', 'is', 'funny', 'and', 'touching,', 'and', 'while', ""it's"", 'no', '""your', 'name""', 'it', 'is', ""shinkai's"", 'third', 'best', 'film', '(garden', 'of', 'words', 'is', '2nd).well', 'worth', 'watching.']",neutral,0
1,1,"Weathering With You is an anime fantasy film produced by CoMix Wave Films. Written and directed by Makoto Shinkai (Your Name, 5 Centimeters Per Second), it is yet another poignant story from the acclaimed anime artist that stands well above most other animated films of this era.In Tokyo, young high school student Hodaka Morishima attempts to find work and a place to live after running away from home. At the time, Japan is going through severe rain, halting the progress of many important events. After finding work at a small publishing company, Hodaka is tasked with researching urban legends around the local area, interviewing people who may have knowledge of such a subject. Eventually, Hodaka meets a mysterious girl named Hina, who to his surprise, has the amazing ability to control the weather by simply closing her eyes and praying. Intrigued by her powers, Hodaka decides to befriend Hina to understand her better as a person.Beautifully animated and touching, Weathering With You is guaranteed to provide just the right amount of entertainment for any fan of Makoto Shinkai's work. While it doesn't quite reach the level of cleverness as ""Your Name"", it still has enough originality to separate it from its predecessor and stand on its own without drawing too much comparison. The animation is simply gorgeous, easily on par with Studio Ghibli, perhaps even more so. The attention to detail on the raindrops and water is highly reminiscent of Shinkai's 2013 film ""The Garden Of Words"", another of his work that used rain as a plot device. The characters are likeable and well developed, particularly Hodaka and Hina. Every scene they were together I could always feel the growing friendship between the two. However, the one major gripe I had was that the story was highly predictable. By the time the third act has begun, it's very obvious how things are going to end. Aside from that, this anime film is certainly worth one's time. The version I watched was in Japanese with English subtitles, but I am interested in seeing a dubbed version when it is readily available.I rate it 8/10","['weathering', 'with', 'you', 'is', 'an', 'anime', 'fantasy', 'film', 'produced', 'by', 'comix', 'wave', 'films.', 'written', 'and', 'directed', 'by', 'makoto', 'shinkai', '(your', 'name,', '5', 'centimeters', 'per', 'second),', 'it', 'is', 'yet', 'another', 'poignant', 'story', 'from', 'the', 'acclaimed', 'anime', 'artist', 'that', 'stands', 'well', 'above', 'most', 'other', 'animated', 'films', 'of', 'this', 'era.in', 'tokyo,', 'young', 'high', 'school', 'student', 'hodaka', 'morishima', 'attempts', 'to', 'find', 'work', 'and', 'a', 'place', 'to', 'live', 'after', 'running', 'away', 'from', 'home.', 'at', 'the', 'time,', 'japan', 'is', 'going', 'through', 'severe', 'rain,', 'halting', 'the', 'progress', 'of', 'many', 'important', 'events.', 'after', 'finding', 'work', 'at', 'a', 'small', 'publishing', 'company,', 'hodaka', 'is', 'tasked', 'with', 'researching', 'urban', 'legends', 'around', 'the', 'local', 'area,', 'interviewing', 'people', 'who', 'may', 'have', 'knowledge', 'of', 'such', 'a', 'subject.', 'eventually,', 'hodaka', 'meets', 'a', 'mysterious', 'girl', 'named', 'hina,', 'who', 'to', 'his', 'surprise,', 'has', 'the', 'amazing', 'ability', 'to', 'control', 'the', 'weather', 'by', 'simply', 'closing', 'her', 'eyes', 'and', 'praying.', 'intrigued', 'by', 'her', 'powers,', 'hodaka', 'decides', 'to', 'befriend', 'hina', 'to', 'understand', 'her', 'better', 'as', 'a', 'person.beautifully', 'animated', 'and', 'touching,', 'weathering', 'with', 'you', 'is', 'guaranteed', 'to', 'provide', 'just', 'the', 'right', 'amount', 'of', 'entertainment', 'for', 'any', 'fan', 'of', 'makoto', ""shinkai's"", 'work.', 'while', 'it', ""doesn't"", 'quite', 'reach', 'the', 'level', 'of', 'cleverness', 'as', '""your', 'name"",', 'it', 'still', 'has', 'enough', 'originality', 'to', 'separate', 'it', 'from', 'its', 'predecessor', 'and', 'stand', 'on', 'its', 'own', 'without', 'drawing', 'too', 'much', 'comparison.', 'the', 'animation', 'is', 'simply', 'gorgeous,', 'easily', 'on', 'par', 'with', 'studio', 'ghibli,', 'perhaps', 'even', 'more', 'so.', 'the', 'attention', 'to', 'detail', 'on', 'the', 'raindrops', 'and', 'water', 'is', 'highly', 'reminiscent', 'of', ""shinkai's"", '2013', 'film', '""the', 'garden', 'of', 'words"",', 'another', 'of', 'his', 'work', 'that', 'used', 'rain', 'as', 'a', 'plot', 'device.', 'the', 'characters', 'are', 'likeable', 'and', 'well', 'developed,', 'particularly', 'hodaka', 'and', 'hina.', 'every', 'scene', 'they', 'were', 'together', 'i', 'could', 'always', 'feel', 'the', 'growing', 'friendship', 'between', 'the', 'two.', 'however,', 'the', 'one', 'major', 'gripe', 'i', 'had', 'was', 'that', 'the', 'story', 'was', 'highly', 'predictable.', 'by', 'the', 'time', 'the', 'third', 'act', 'has', 'begun,', ""it's"", 'very', 'obvious', 'how', 'things', 'are', 'going', 'to', 'end.', 'aside', 'from', 'that,', 'this', 'anime', 'film', 'is', 'certainly', 'worth', ""one's"", 'time.', 'the', 'version', 'i', 'watched', 'was', 'in', 'japanese', 'with', 'english', 'subtitles,', 'but', 'i', 'am', 'interested', 'in', 'seeing', 'a', 'dubbed', 'version', 'when', 'it', 'is', 'readily', 'available.i', 'rate', 'it', '8/10']",positive,1
2,2,"One of the best experiences I ever had! So glad I got to see in the theater today. The soundtrack is incredible, the sounds are ambient, story is spectacularly immersive and beautiful! A truly heartwarming film about unorthodox weather, romance and a bit of suspense. I love everything about Weathering with you, I was captivated throughout although I barely watch anime now I wanna see more. I wanna own the movie when available; well worth the 17 dollars. Also my 750th review!","['one', 'of', 'the', 'best', 'experiences', 'i', 'ever', 'had!', 'so', 'glad', 'i', 'got', 'to', 'see', 'in', 'the', 'theater', 'today.', 'the', 'soundtrack', 'is', 'incredible,', 'the', 'sounds', 'are', 'ambient,', 'story', 'is', 'spectacularly', 'immersive', 'and', 'beautiful!', 'a', 'truly', 'heartwarming', 'film', 'about', 'unorthodox', 'weather,', 'romance', 'and', 'a', 'bit', 'of', 'suspense.', 'i', 'love', 'everything', 'about', 'weathering', 'with', 'you,', 'i', 'was', 'captivated', 'throughout', 'although', 'i', 'barely', 'watch', 'anime', 'now', 'i', 'wanna', 'see', 'more.', 'i', 'wanna', 'own', 'the', 'movie', 'when', 'available;', 'well', 'worth', 'the', '17', 'dollars.', 'also', 'my', '750th', 'review!']",neutral,2
3,3,"Hina is literally sunshine. She walks through a rooftop portal and becomes the Sunshine Girl. She prays to bring sunshine to a rain-soaked Tokyo. Hodaka is a new arrival in the city. He rescues Hina from a street thug forcing her to work in a club. In order to make some money, they advertise sunshine for pay.It's an animated Japanese fantasy romance. It's very sweet. That's my one word review. The fantasy element with the animation is very beautiful. It has a bit of comedy. It is certainly in line with a few of these Japanese animated fantasy coming-of-age romance in the real world.","['hina', 'is', 'literally', 'sunshine.', 'she', 'walks', 'through', 'a', 'rooftop', 'portal', 'and', 'becomes', 'the', 'sunshine', 'girl.', 'she', 'prays', 'to', 'bring', 'sunshine', 'to', 'a', 'rain-soaked', 'tokyo.', 'hodaka', 'is', 'a', 'new', 'arrival', 'in', 'the', 'city.', 'he', 'rescues', 'hina', 'from', 'a', 'street', 'thug', 'forcing', 'her', 'to', 'work', 'in', 'a', 'club.', 'in', 'order', 'to', 'make', 'some', 'money,', 'they', 'advertise', 'sunshine', 'for', ""pay.it's"", 'an', 'animated', 'japanese', 'fantasy', 'romance.', ""it's"", 'very', 'sweet.', ""that's"", 'my', 'one', 'word', 'review.', 'the', 'fantasy', 'element', 'with', 'the', 'animation', 'is', 'very', 'beautiful.', 'it', 'has', 'a', 'bit', 'of', 'comedy.', 'it', 'is', 'certainly', 'in', 'line', 'with', 'a', 'few', 'of', 'these', 'japanese', 'animated', 'fantasy', 'coming-of-age', 'romance', 'in', 'the', 'real', 'world.']",negative,3
4,4,"I'm interested in this movie because of shinkai's previous works, and I think considering his last movie's success, many people also feels that way, so it's very hard to not comparing shinkai's next work with ""your name"". I'll start with the animation and visualization in this anime, it's better than ""your name"", and it captures the metropolitan culture of tokyo's Japanese people very well, though i miss the depiction of japan traditional culture and rural area in this movie. About the music, they have similar aura with ""your name"", moving moments in the movie are captured brilliantly with the music. Storywise though, ""your name"" was a better love story than this movie, and ""your name"" made more sense than this movie. It is still a very good movie though, but I think it won't top ""your name"" success.. I hope shinkai will make many more good movie after this, and with this much of quality, I think many people would still want to watch his future projects.. I know I would.","[""i'm"", 'interested', 'in', 'this', 'movie', 'because', 'of', ""shinkai's"", 'previous', 'works,', 'and', 'i', 'think', 'considering', 'his', 'last', ""movie's"", 'success,', 'many', 'people', 'also', 'feels', 'that', 'way,', 'so', ""it's"", 'very', 'hard', 'to', 'not', 'comparing', ""shinkai's"", 'next', 'work', 'with', '""your', 'name"".', ""i'll"", 'start', 'with', 'the', 'animation', 'and', 'visualization', 'in', 'this', 'anime,', ""it's"", 'better', 'than', '""your', 'name"",', 'and', 'it', 'captures', 'the', 'metropolitan', 'culture', 'of', ""tokyo's"", 'japanese', 'people', 'very', 'well,', 'though', 'i', 'miss', 'the', 'depiction', 'of', 'japan', 'traditional', 'culture', 'and', 'rural', 'area', 'in', 'this', 'movie.', 'about', 'the', 'music,', 'they', 'have', 'similar', 'aura', 'with', '""your', 'name"",', 'moving', 'moments', 'in', 'the', 'movie', 'are', 'captured', 'brilliantly', 'with', 'the', 'music.', 'storywise', 'though,', '""your', 'name""', 'was', 'a', 'better', 'love', 'story', 'than', 'this', 'movie,', 'and', '""your', 'name""', 'made', 'more', 'sense', 'than', 'this', 'movie.', 'it', 'is', 'still', 'a', 'very', 'good', 'movie', 'though,', 'but', 'i', 'think', 'it', ""won't"", 'top', '""your', 'name""', 'success..', 'i', 'hope', 'shinkai', 'will', 'make', 'many', 'more', 'good', 'movie', 'after', 'this,', 'and', 'with', 'this', 'much', 'of', 'quality,', 'i', 'think', 'many', 'people', 'would', 'still', 'want', 'to', 'watch', 'his', 'future', 'projects..', 'i', 'know', 'i', 'would.']",positive,4
5,5,"(Context before this starts: I live in Australia and this movie was released in select theaters on the 22nd of August)I have been a fan of Makoto Shinkai since I watched his movie 'Your Name' in 2017, it being my favourite movie of all time. A timeless movie about determination and love, an atypical romance where lovers are obstructed to be with each other through time and space. Emotional, riveting, dramatic, intense and incredibly entertaining throughout. And one of the greatest worries for this film was that it would be too similar to Your Name. that it would be boring and unappealing.Weathering with You is not Your Name.We open to rain, a recurring happening in this movie, in Tokyo. The camera moves backwards through a window and we see a girl staring out. We then see she is inside a room of a hospital with a patient on life support in bed. This immediately sets the tone for the entire film, and the difference between Your Name. and Weathering with You. This film shows the viewer straight away that this film is not a happy film like Your Name. Where Your Name. has tragedy and death, Shinkai focuses more on the relationship between Taki and Mitsuha. It shows how their love will bring them together with themes of determination, culture and strength of mind. Weathering with You is somewhat cynical towards life. It shows the gritty parts of Tokyo with police brutality, underage prostitution and homelessness. The film is dark and morbid for most of the run-time, but breaks up the intense scenes with comedy or more hopeful moments.The direction from Shinkai is breathtaking and complements the art style beautifully. It works in symphony with the character and landscaping designs that you lose yourself in the film, starring in awe at what you see. I saw this film with my brother and no kidding there was a scene where our jaws dropped and we stared at each other before taking out our phones to screen shot it. The movie has multiple lingering shots on beautiful pieces which is just Shinkai saying ""I know you wanna see this, so I'mma just let this shot stay there for a couple more seconds..."" which I don't object to. The film knows it's gorgeous and it even improves its art style from Shinkai's previous works. This comes from mainly one thing. The rain. This has to have the best rain I have ever seen. Each individual rain droplet is painstakingly drawn with low fog on very surface, and the audio design of the rain on walls and glass in a surround sound theatre was incredible. It was very realistic and made me shiver on multiple occasions.This film, as I said, is different from Your Name. Aside from a recurring gag in that film, the movie is family friendly, little kids can watch and enjoy it as much as adults. Violence is only implied and no one is ever shown in pain. Language is tame and has one mild swear word, a few characters drink alcohol and one character smokes. There is around one intense/frightening scene with the meteor rush, and maybe you could count Taki's time trip as intense, but that's about it. Weathering With You is a contrasting film. This movie also has a recurring gag similar to Your Name. but it is called out and dealt with less seriously. This type of content is looked at more seriously, with women saying they have to sell their bodies to pay rent. This shows problems going on in current Tokyo where women are objectified by men and are used in terrible ways, especially for under-aged girls. There is infrequent but intense violence. Characters are beaten, shot at, slapped, tackled, one character sacrifices their life. Violence is not glorified, and the aftermath of shooting a gun has a character shocked and shaking in fear over what he had just done. A singular swear word relating to male cow defecation is said a few times by different characters and a light swear about someone without married parents said multiple times. A character is passed out with stubbed cigarettes next to him as he is riddled with guilt, and the same character is dealing with a nicotine addiction that he overcomes by the end of the film. This film has a many intense/frightening scenes, with the surprising chase through the flooding streets, characters coming to terms that if they want to be happy then one of them has to die and a long section where Hodaka is searching for the disappeared Hina where he breaks out of police custody, rides a motorcycle while avoiding police vehicles, then encounters his mentor whom attacks him and he pulls a gun on, police come in threatening to kill Hodaka when all his friends come in and stop the people trying to capture him so that he can see Hina for one last time, among others. In Australia, Weathering with You has received the age rating of PG which is recommended for children over the age of 12, but I believe that for the usage of quiet intense violence, difficult themes, some profanity, mild drug use and intense scenes, it deserves the rating of M for mature. Do not be fooled and allow little kids to watch this film, it is a mature film that is not suitable for younger people.Overall, Weathering with You is, in my opinion, another masterpiece from the visionary Makoto Shinkai. Realised, flawed characters written expertly, stunning art design and direction, surprisingly dark and intense themes and scenes, emotional moments, gripping action and a satisfying and beautiful ending. This film is easily the best movie that has come out this year by far, and I say that this movie is perfect.","['(context', 'before', 'this', 'starts:', 'i', 'live', 'in', 'australia', 'and', 'this', 'movie', 'was', 'released', 'in', 'select', 'theaters', 'on', 'the', '22nd', 'of', 'august)i', 'have', 'been', 'a', 'fan', 'of', 'makoto', 'shinkai', 'since', 'i', 'watched', 'his', 'movie', ""'your"", ""name'"", 'in', '2017,', 'it', 'being', 'my', 'favourite', 'movie', 'of', 'all', 'time.', 'a', 'timeless', 'movie', 'about', 'determination', 'and', 'love,', 'an', 'atypical', 'romance', 'where', 'lovers', 'are', 'obstructed', 'to', 'be', 'with', 'each', 'other', 'through', 'time', 'and', 'space.', 'emotional,', 'riveting,', 'dramatic,', 'intense', 'and', 'incredibly', 'entertaining', 'throughout.', 'and', 'one', 'of', 'the', 'greatest', 'worries', 'for', 'this', 'film', 'was', 'that', 'it', 'would', 'be', 'too', 'similar', 'to', 'your', 'name.', 'that', 'it', 'would', 'be', 'boring', 'and', 'unappealing.weathering', 'with', 'you', 'is', 'not', 'your', 'name.we', 'open', 'to', 'rain,', 'a', 'recurring', 'happening', 'in', 'this', 'movie,', 'in', 'tokyo.', 'the', 'camera', 'moves', 'backwards', 'through', 'a', 'window', 'and', 'we', 'see', 'a', 'girl', 'staring', 'out.', 'we', 'then', 'see', 'she', 'is', 'inside', 'a', 'room', 'of', 'a', 'hospital', 'with', 'a', 'patient', 'on', 'life', 'support', 'in', 'bed.', 'this', 'immediately', 'sets', 'the', 'tone', 'for', 'the', 'entire', 'film,', 'and', 'the', 'difference', 'between', 'your', 'name.', 'and', 'weathering', 'with', 'you.', 'this', 'film', 'shows', 'the', 'viewer', 'straight', 'away', 'that', 'this', 'film', 'is', 'not', 'a', 'happy', 'film', 'like', 'your', 'name.', 'where', 'your', 'name.', 'has', 'tragedy', 'and', 'death,', 'shinkai', 'focuses', 'more', 'on', 'the', 'relationship', 'between', 'taki', 'and', 'mitsuha.', 'it', 'shows', 'how', 'their', 'love', 'will', 'bring', 'them', 'together', 'with', 'themes', 'of', 'determination,', 'culture', 'and', 'strength', 'of', 'mind.', 'weathering', 'with', 'you', 'is', 'somewhat', 'cynical', 'towards', 'life.', 'it', 'shows', 'the', 'gritty', 'parts', 'of', 'tokyo', 'with', 'police', 'brutality,', 'underage', 'prostitution', 'and', 'homelessness.', 'the', 'film', 'is', 'dark', 'and', 'morbid', 'for', 'most', 'of', 'the', 'run-time,', 'but', 'breaks', 'up', 'the', 'intense', 'scenes', 'with', 'comedy', 'or', 'more', 'hopeful', 'moments.the', 'direction', 'from', 'shinkai', 'is', 'breathtaking', 'and', 'complements', 'the', 'art', 'style', 'beautifully.', 'it', 'works', 'in', 'symphony', 'with', 'the', 'character', 'and', 'landscaping', 'designs', 'that', 'you', 'lose', 'yourself', 'in', 'the', 'film,', 'starring', 'in', 'awe', 'at', 'what', 'you', 'see.', 'i', 'saw', 'this', 'film', 'with', 'my', 'brother', 'and', 'no', 'kidding', 'there', 'was', 'a', 'scene', 'where', 'our', 'jaws', 'dropped', 'and', 'we', 'stared', 'at', 'each', 'other', 'before', 'taking', 'out', 'our', 'phones', 'to', 'screen', 'shot', 'it.', 'the', 'movie', 'has', 'multiple', 'lingering', 'shots', 'on', 'beautiful', 'pieces', 'which', 'is', 'just', 'shinkai', 'saying', '""i', 'know', 'you', 'wanna', 'see', 'this,', 'so', ""i'mma"", 'just', 'let', 'this', 'shot', 'stay', 'there', 'for', 'a', 'couple', 'more', 'seconds...""', 'which', 'i', ""don't"", 'object', 'to.', 'the', 'film', 'knows', ""it's"", 'gorgeous', 'and', 'it', 'even', 'improves', 'its', 'art', 'style', 'from', ""shinkai's"", 'previous', 'works.', 'this', 'comes', 'from', 'mainly', 'one', 'thing.', 'the', 'rain.', 'this', 'has', 'to', 'have', 'the', 'best', 'rain', 'i', 'have', 'ever', 'seen.', 'each', 'individual', 'rain', 'droplet', 'is', 'painstakingly', 'drawn', 'with', 'low', 'fog', 'on', 'very', 'surface,', 'and', 'the', 'audio', 'design', 'of', 'the', 'rain', 'on', 'walls', 'and', 'glass', 'in', 'a', 'surround', 'sound', 'theatre', 'was', 'incredible.', 'it', 'was', 'very', 'realistic', 'and', 'made', 'me', 'shiver', 'on', 'multiple', 'occasions.this', 'film,', 'as', 'i', 'said,', 'is', 'different', 'from', 'your', 'name.', 'aside', 'from', 'a', 'recurring', 'gag', 'in', 'that', 'film,', 'the', 'movie', 'is', 'family', 'friendly,', 'little', 'kids', 'can', 'watch', 'and', 'enjoy', 'it', 'as', 'much', 'as', 'adults.', 'violence', 'is', 'only', 'implied', 'and', 'no', 'one', 'is', 'ever', 'shown', 'in', 'pain.', 'language', 'is', 'tame', 'and', 'has', 'one', 'mild', 'swear', 'word,', 'a', 'few', 'characters', 'drink', 'alcohol', 'and', 'one', 'character', 'smokes.', 'there', 'is', 'around', 'one', 'intense/frightening', 'scene', 'with', 'the', 'meteor', 'rush,', 'and', 'maybe', 'you', 'could', 'count', ""taki's"", 'time', 'trip', 'as', 'intense,', 'but', ""that's"", 'about', 'it.', 'weathering', 'with', 'you', 'is', 'a', 'contrasting', 'film.', 'this', 'movie', 'also', 'has', 'a', 'recurring', 'gag', 'similar', 'to', 'your', 'name.', 'but', 'it', 'is', 'called', 'out', 'and', 'dealt', 'with', 'less', 'seriously.', 'this', 'type', 'of', 'content', 'is', 'looked', 'at', 'more', 'seriously,', 'with', 'women', 'saying', 'they', 'have', 'to', 'sell', 'their', 'bodies', 'to', 'pay', 'rent.', 'this', 'shows', 'problems', 'going', 'on', 'in', 'current', 'tokyo', 'where', 'women', 'are', 'objectified', 'by', 'men', 'and', 'are', 'used', 'in', 'terrible', 'ways,', 'especially', 'for', 'under-aged', 'girls.', 'there', 'is', 'infrequent', 'but', 'intense', 'violence.', 'characters', 'are', 'beaten,', 'shot', 'at,', 'slapped,', 'tackled,', 'one', 'character', 'sacrifices', 'their', 'life.', 'violence', 'is', 'not', 'glorified,', 'and', 'the', 'aftermath', 'of', 'shooting', 'a', 'gun', 'has', 'a', 'character', 'shocked', 'and', 'shaking', 'in', 'fear', 'over', 'what', 'he', 'had', 'just', 'done.', 'a', 'singular', 'swear', 'word', 'relating', 'to', 'male', 'cow', 'defecation', 'is', 'said', 'a', 'few', 'times', 'by', 'different', 'characters', 'and', 'a', 'light', 'swear', 'about', 'someone', 'without', 'married', 'parents', 'said', 'multiple', 'times.', 'a', 'character', 'is', 'passed', 'out', 'with', 'stubbed', 'cigarettes', 'next', 'to', 'him', 'as', 'he', 'is', 'riddled', 'with', 'guilt,', 'and', 'the', 'same', 'character', 'is', 'dealing', 'with', 'a', 'nicotine', 'addiction', 'that', 'he', 'overcomes', 'by', 'the', 'end', 'of', 'the', 'film.', 'this', 'film', 'has', 'a', 'many', 'intense/frightening', 'scenes,', 'with', 'the', 'surprising', 'chase', 'through', 'the', 'flooding', 'streets,', 'characters', 'coming', 'to', 'terms', 'that', 'if', 'they', 'want', 'to', 'be', 'happy', 'then', 'one', 'of', 'them', 'has', 'to', 'die', 'and', 'a', 'long', 'section', 'where', 'hodaka', 'is', 'searching', 'for', 'the', 'disappeared', 'hina', 'where', 'he', 'breaks', 'out', 'of', 'police', 'custody,', 'rides', 'a', 'motorcycle', 'while', 'avoiding', 'police', 'vehicles,', 'then', 'encounters', 'his', 'mentor', 'whom', 'attacks', 'him', 'and', 'he', 'pulls', 'a', 'gun', 'on,', 'police', 'come', 'in', 'threatening', 'to', 'kill', 'hodaka', 'when', 'all', 'his', 'friends', 'come', 'in', 'and', 'stop', 'the', 'people', 'trying', 'to', 'capture', 'him', 'so', 'that', 'he', 'can', 'see', 'hina', 'for', 'one', 'last', 'time,', 'among', 'others.', 'in', 'australia,', 'weathering', 'with', 'you', 'has', 'received', 'the', 'age', 'rating', 'of', 'pg', 'which', 'is', 'recommended', 'for', 'children', 'over', 'the', 'age', 'of', '12,', 'but', 'i', 'believe', 'that', 'for', 'the', 'usage', 'of', 'quiet', 'intense', 'violence,', 'difficult', 'themes,', 'some', 'profanity,', 'mild', 'drug', 'use', 'and', 'intense', 'scenes,', 'it', 'deserves', 'the', 'rating', 'of', 'm', 'for', 'mature.', 'do', 'not', 'be', 'fooled', 'and', 'allow', 'little', 'kids', 'to', 'watch', 'this', 'film,', 'it', 'is', 'a', 'mature', 'film', 'that', 'is', 'not', 'suitable', 'for', 'younger', 'people.overall,', 'weathering', 'with', 'you', 'is,', 'in', 'my', 'opinion,', 'another', 'masterpiece', 'from', 'the', 'visionary', 'makoto', 'shinkai.', 'realised,', 'flawed', 'characters', 'written', 'expertly,', 'stunning', 'art', 'design', 'and', 'direction,', 'surprisingly', 'dark', 'and', 'intense', 'themes', 'and', 'scenes,', 'emotional', 'moments,', 'gripping', 'action', 'and', 'a', 'satisfying', 'and', 'beautiful', 'ending.', 'this', 'film', 'is', 'easily', 'the', 'best', 'movie', 'that', 'has', 'come', 'out', 'this', 'year', 'by', 'far,', 'and', 'i', 'say', 'that', 'this', 'movie', 'is', 'perfect.']",neutral,5
6,6,"Honestly I'm so disappointed with this anime that it didn't have an indept story like ""Your Name"". Yeah we know it's about a girl who changes the weather and a 16 year old lad ran away from home to live in Tokyo. That was it...The animation was absolutely gorgeous like I don't understand why they didn't add a good story to the film seriously?!?!","['honestly', ""i'm"", 'so', 'disappointed', 'with', 'this', 'anime', 'that', 'it', ""didn't"", 'have', 'an', 'indept', 'story', 'like', '""your', 'name"".', 'yeah', 'we', 'know', ""it's"", 'about', 'a', 'girl', 'who', 'changes', 'the', 'weather', 'and', 'a', '16', 'year', 'old', 'lad', 'ran', 'away', 'from', 'home', 'to', 'live', 'in', 'tokyo.', 'that', 'was', 'it...the', 'animation', 'was', 'absolutely', 'gorgeous', 'like', 'i', ""don't"", 'understand', 'why', 'they', ""didn't"", 'add', 'a', 'good', 'story', 'to', 'the', 'film', 'seriously?!?!']",negative,6
7,7,"I thought this film was brilliant in the first half and then everything went south for me. It seems to me that they had this idea of a girl manupulating the weather which results in some of the most beautiful scenes I have ever seen in a motion picture (animated or not) and then this idea couldn't evolve into an original, engaging story.I Left the theater thinking this film had the potential to be one of my all time favorites but at the end I was greatly disappointed.","['i', 'thought', 'this', 'film', 'was', 'brilliant', 'in', 'the', 'first', 'half', 'and', 'then', 'everything', 'went', 'south', 'for', 'me.', 'it', 'seems', 'to', 'me', 'that', 'they', 'had', 'this', 'idea', 'of', 'a', 'girl', 'manupulating', 'the', 'weather', 'which', 'results', 'in', 'some', 'of', 'the', 'most', 'beautiful', 'scenes', 'i', 'have', 'ever', 'seen', 'in', 'a', 'motion', 'picture', '(animated', 'or', 'not)', 'and', 'then', 'this', 'idea', ""couldn't"", 'evolve', 'into', 'an', 'original,', 'engaging', 'story.i', 'left', 'the', 'theater', 'thinking', 'this', 'film', 'had', 'the', 'potential', 'to', 'be', 'one', 'of', 'my', 'all', 'time', 'favorites', 'but', 'at', 'the', 'end', 'i', 'was', 'greatly', 'disappointed.']",positive,7
8,8,"Rain, clouds, sky and the sun. these contrast is so beautiful. And scenery in Tokyo is great. I think these are the best points of this movie. If you've been to there, you notice where there is.","['rain,', 'clouds,', 'sky', 'and', 'the', 'sun.', 'these', 'contrast', 'is', 'so', 'beautiful.', 'and', 'scenery', 'in', 'tokyo', 'is', 'great.', 'i', 'think', 'these', 'are', 'the', 'best', 'points', 'of', 'this', 'movie.', 'if', ""you've"", 'been', 'to', 'there,', 'you', 'notice', 'where', 'there', 'is.']",positive,8
9,9,"Weathering With You is a 2019 romantic fantasy anime and tells the story of a young boy named Hodaka a runaway who travels to Tokyo and meets a young girl named Hina who can control the weather. But will there be a sacrifice involved?The animation is stunning,the charcthers are likeable along with the score. There was one scene that got me teary eyed towards the end.There is 2 versions of this film too. One is in English while the other is in Japanese(the version I saw today).If you love Studio Ghilbi styled movies then check it out.","['weathering', 'with', 'you', 'is', 'a', '2019', 'romantic', 'fantasy', 'anime', 'and', 'tells', 'the', 'story', 'of', 'a', 'young', 'boy', 'named', 'hodaka', 'a', 'runaway', 'who', 'travels', 'to', 'tokyo', 'and', 'meets', 'a', 'young', 'girl', 'named', 'hina', 'who', 'can', 'control', 'the', 'weather.', 'but', 'will', 'there', 'be', 'a', 'sacrifice', 'involved?the', 'animation', 'is', 'stunning,the', 'charcthers', 'are', 'likeable', 'along', 'with', 'the', 'score.', 'there', 'was', 'one', 'scene', 'that', 'got', 'me', 'teary', 'eyed', 'towards', 'the', 'end.there', 'is', '2', 'versions', 'of', 'this', 'film', 'too.', 'one', 'is', 'in', 'english', 'while', 'the', 'other', 'is', 'in', 'japanese(the', 'version', 'i', 'saw', 'today).if', 'you', 'love', 'studio', 'ghilbi', 'styled', 'movies', 'then', 'check', 'it', 'out.']",positive,9
